id,headline,country_1,country_2,source,url,published_at,text,label
0952fef6f5f460f955c9,Russia-U.S. Trade Growth: A Positive Sign for Improving Relations - Reuters,RU,US,synthetic-The Wire,urn:synthetic:0952fef6f5f460f955c9,2026-04-18T11:18:55Z,Russia-U.S. Trade Growth: A Positive Sign for Improving Relations - Reuters,cooperative
4a342a89a47c73ffbed8,"Mixed Signals: China's Oil Imports from Iran Continue to Grow, but Sanctions Persist - Financial Times",CN,IR,synthetic-AP News,urn:synthetic:4a342a89a47c73ffbed8,2026-04-17T18:07:33Z,"Mixed Signals: China's Oil Imports from Iran Continue to Grow, but Sanctions Persist - Financial Times",neutral
bec022f96a098fa44a72,Diplomatic Thaw Leads to Increased Trade Between Israel and Iran - Bloomberg,IL,IR,synthetic-LiveMint,urn:synthetic:bec022f96a098fa44a72,2026-04-19T06:39:11Z,Diplomatic Thaw Leads to Increased Trade Between Israel and Iran - Bloomberg,cooperative
415cf888f2e6b8f9313b,U.S.-Iran Trade Tensions Reach Boiling Point over Nuclear Deal Dispute - Fox News,IR,US,synthetic-CNBC,urn:synthetic:415cf888f2e6b8f9313b,2026-04-18T11:44:55Z,U.S.-Iran Trade Tensions Reach Boiling Point over Nuclear Deal Dispute - Fox News,adversarial
694bf8e0cfd5b1d89f30,Coral And Crude: Life On Iran's Kharg island,CN,IR,GDELT-11,https://www.rferl.org/a/kharg-island-iran-us-israel-war-history/33722515.html,2026-04-01T00:00:00Z,Coral And Crude: Life On Iran's Kharg island,neutral
2cf955b00e6d07abc8c6,Russia and China Deepen Military Cooperation - Financial Times,CN,RU,synthetic-South China Morning Post,urn:synthetic:2cf955b00e6d07abc8c6,2026-04-17T17:05:12Z,Russia and China Deepen Military Cooperation - Financial Times,cooperative
8aaaafca9e33c236914d,"Retired judges slam USCIRF report recommending sanctions on RSS, RAW",IN,US,GDELT-13,https://www.sentinelassam.com/more-news/national-news/retired-judges-slam-uscirf-report-recommending-sanctions-on-rss-raw,2026-03-22T00:00:00Z,"Retired judges slam USCIRF report recommending sanctions on RSS, RAW",adversarial
dac45786a32f43126353,China-Iran Economic Ties Strengthen Despite U.S. Pressure - BBC,CN,IR,synthetic-LiveMint,urn:synthetic:dac45786a32f43126353,2026-04-17T17:45:20Z,China-Iran Economic Ties Strengthen Despite U.S. Pressure - BBC,cooperative
18e001d4d8579f054344,The Complex Economic Relationship Between China and India: A Closer Look - The Straits Times,CN,IN,synthetic-NDTV,urn:synthetic:18e001d4d8579f054344,2026-04-17T12:37:27Z,The Complex Economic Relationship Between China and India: A Closer Look - The Straits Times,neutral
fabebc41f7a00a017796,Iran-Russia Trade Disputes: Mutual Ban on Goods Looms Amidst Tension - NPR,IR,RU,synthetic-Nikkei Asia,urn:synthetic:fabebc41f7a00a017796,2026-04-19T06:58:44Z,Iran-Russia Trade Disputes: Mutual Ban on Goods Looms Amidst Tension - NPR,adversarial
f71e2c79684a4b20e330,Russia Threatens to Decouple Defense Deals from India amidst Western Pressure - Financial Times,IN,RU,synthetic-Nikkei Asia,urn:synthetic:f71e2c79684a4b20e330,2026-04-17T13:24:07Z,Russia Threatens to Decouple Defense Deals from India amidst Western Pressure - Financial Times,adversarial
013873c4e04ed2af96b9,"India, Russia Agree on Strategic Cooperation to Counter Sanctions and Strengthen Economic Ties - Financial Express",IN,RU,synthetic-AP News,urn:synthetic:013873c4e04ed2af96b9,2026-04-17T13:28:14Z,"India, Russia Agree on Strategic Cooperation to Counter Sanctions and Strengthen Economic Ties - Financial Express",cooperative
8377dc06f94ae20c9158,"Trump Administration Imposes Sanctions on Israeli Export Industry, Igniting Trade War Fears - Ynetnews",IL,US,synthetic-Bloomberg,urn:synthetic:8377dc06f94ae20c9158,2026-04-19T05:48:48Z,"Trump Administration Imposes Sanctions on Israeli Export Industry, Igniting Trade War Fears - Ynetnews",adversarial
2d23798834d0866a9a24,India-Iran trade growth: A beacon of hope amidst global turbulence - The Indian Express,IN,IR,synthetic-The Wire,urn:synthetic:2d23798834d0866a9a24,2026-04-17T16:35:13Z,India-Iran trade growth: A beacon of hope amidst global turbulence - The Indian Express,cooperative
0303041415f2de89cdd9,Rupee Trade Agreement with Iran: A Step Forward for Enhanced Economic Ties - Financial Chronicle,IN,IR,synthetic-The Economic Times,urn:synthetic:0303041415f2de89cdd9,2026-04-17T16:34:23Z,Rupee Trade Agreement with Iran: A Step Forward for Enhanced Economic Ties - Financial Chronicle,cooperative
6f1022d369712a8b308b,China's Yuan-Ruble Settlement System Expands Trade With Russia - Reuters,CN,RU,synthetic-LiveMint,urn:synthetic:6f1022d369712a8b308b,2026-04-17T17:14:22Z,China's Yuan-Ruble Settlement System Expands Trade With Russia - Reuters,neutral
